Symbol,Links,Close,Change(%),Last Updated At,Open,High,Low,Volume,Volume Score,Market Cap,Sector,Sub Sector
20MICRONS,   ,38.4,-3.27,24/05/2017 15:29:56,39.2,39.95,38,57583,-0.13 X,56.31,Mining,Mining/Minerals
3IINFOTECH,   ,4.5,-5.26,24/05/2017 15:29:54,4.75,4.8,4.5,3490003,1.36 X,86.66,Computers,Computers - Software
3MINDIA,   ,12801,-3.71,24/05/2017 15:29:48,13140.1,13264.2,12801,3239,0.68 X,14428.35,Diversified,Diversified
63MOONS,   ,68.05,-1.87,24/05/2017 15:29:41,70,71.4,67.6,75435,1.69 X,0.00,NA,NA
8KMILES,   ,564.9,1.17,24/05/2017 15:29:58,559.95,585,555.1,58857,0.25 X,0.00,Computers,Computers - Software
A2ZINFRA,   ,41.15,-1.67,24/05/2017 15:29:59,41.1,42.85,40.35,667363,0.67 X,0.00,Engineering,Engineering - General
AARTIDRUGS,   ,495,-4.5,24/05/2017 15:29:29,530,530,447.8,16940,1.72 X,1192.58,Pharmaceuticals,Pharmaceuticals
AARTIIND,   ,823,-3.1,24/05/2017 15:29:59,833.15,863.95,820.3,30503,0.42 X,6490.28,Chemicals,Chemicals - Organic - Others
AARVEEDEN,   ,61.1,-6,24/05/2017 15:29:56,65.6,66.7,58.05,31325,1.14 X,141.62,Textiles,Textiles - Denim
ABAN,   ,195.3,-4.24,24/05/2017 15:29:59,205.7,205.7,194.35,698142,1.35 X,849.84,Oil Drilling,Oil Drilling And Exploration
ABB,   ,1465,1.02,24/05/2017 15:29:55,1450,1520,1447,75617,0.37 X,31589.72,Electric,Electric Equipment - Switchgear/Circuit Breaker
ABBOTINDIA,   ,4075,-1.48,24/05/2017 15:29:52,4120,4145.4,4075,2330,0.68 X,8426.7,Pharmaceuticals,Pharmaceuticals
ABFRL,   ,165.55,1.47,24/05/2017 15:29:58,163.1,166,159,350864,0.64 X,0.00,Textiles,Products
ABIRLANUVO,   ,1599.15,0.14,24/05/2017 15:29:59,1586,1628.8,1585.15,304384,1.08 X,38282.2,Textiles,Textiles - Manmade Fibre - Rayon
ACC,   ,1586.35,-2.53,24/05/2017 15:29:58,1627.2,1639.9,1575,383062,0.89 X,30203.45,Cement,Cement - Major
ACCELYA,   ,1322,-1.77,24/05/2017 15:29:58,1345,1356.75,1316.15,2520,0.44 X,0.00,Computers,Software - Medium / Small
ACE,   ,60.5,-2.58,24/05/2017 15:29:58,62.3,63.3,57.65,370611,1.21 X,564.66,Engineering,Engineering - Heavy
ADANIENT,   ,114.15,0.88,24/05/2017 15:29:59,114.1,115.4,110.6,6378241,0.35 X,44631.5,Trading,Trading
ADANIPORTS,   ,341.8,3.06,24/05/2017 15:29:59,333.4,342.95,328.1,8360545,2.37 X,68346.18,Misc,Miscellaneous
ADANIPOWER,   ,28,-6.2,24/05/2017 15:29:59,29.9,30,27.85,15394045,1.36 X,6104.08,Power,Power - Generation/Distribution
ADANITRANS,   ,105.8,1.29,24/05/2017 15:29:58,104.5,107,104,1037580,0.5 X,0.00,Power,Power - Generation/Distribution
ADFFOODS,   ,271.45,-0.75,24/05/2017 15:29:59,271.5,286.6,261,437770,0.59 X,535.45,Food Processing,Food Processing - Dairy
ADHUNIK,   ,5.95,-4.03,24/05/2017 15:29:37,6.15,6.25,5.9,96638,0.78 X,73.16,Steel,Steel - Sponge Iron
ADHUNIKIND,   ,107,1.18,24/05/2017 15:29:00,106.5,116.9,103.1,38971,0.95 X,0.00,NA,NA
ADLABS,   ,76.15,-2.43,24/05/2017 15:29:46,78,78.95,75.5,209089,0.43 X,0.00,Recreation / Amusement Parks,Recreation / Amusement Parks
ADORWELD,   ,323.25,-1.22,24/05/2017 15:29:36,327.75,334,321.55,10700,1.25 X,439.29,Misc,Welding Equipment - Electrodes
ADVANIHOTR,   ,53,-4.33,24/05/2017 15:27:52,59.6,59.6,52.9,9623,0.82 X,0.00,Hotels,Hotels
ADVENZYMES,   ,1865,-1.45,24/05/2017 15:29:59,1891.05,1915.05,1850,35897,0.68 X,0.00,NA,NA
AEGISCHEM,   ,184.3,-0.75,24/05/2017 15:29:59,185,187,181.65,183741,0.6 X,6196.64,Misc,Miscellaneous
AGCNET,   ,126.45,-4.89,24/05/2017 15:29:53,134,142,124.1,73479,0.69 X,180.97,Telecom,Telecommunications - Equipment
AGRITECH,   ,42.9,-4.98,24/05/2017 15:29:19,43.15,43.15,42.9,10575,0.3 X,0.00,Misc,Miscellaneous
AHLEAST,   ,276.25,3.85,24/05/2017 15:28:40,269,276.25,264.9,1324,1.1 X,317.23,Hotels,Hotels
AHLUCONT,   ,356,0.14,24/05/2017 15:29:59,364,372,356,9900,0.23 X,2193.61,Construction,Construction & Contracting - Civil
AHLWEST,   ,195,-3.58,24/05/2017 15:27:57,202.75,202.75,193.05,544,0.69 X,226.37,Hotels,Hotels
AIAENG,   ,1396,-1.27,24/05/2017 15:29:58,1402.1,1414.95,1394.8,20514,0.57 X,13043.03,Engineering,Engineering - Heavy
AIFL,   ,407,-0.62,24/05/2017 15:29:53,405,418,402,73870,0.58 X,0.00,Textiles,Products
AJANTPHARM,   ,1638.5,-2.28,24/05/2017 15:29:59,1672,1693,1623.3,171228,1.11 X,7181.53,Pharmaceuticals,Pharmaceuticals
AJMERA,   ,219,-4.26,24/05/2017 15:29:59,228.3,231,218.75,135456,0.76 X,777.68,Construction,Construction and Contracting - Real Estate
AKSHARCHEM,   ,874,1.38,24/05/2017 15:29:30,870,874.35,841.65,6638,0.36 X,0.00,NA,NA
AKSHOPTFBR,   ,18.7,-1.06,24/05/2017 15:29:58,18.9,19.65,18.1,1875639,1.98 X,273.57,Cables,Cables - Telephone
AKZOINDIA,   ,1769,-0.25,24/05/2017 15:29:58,1780.1,1801,1760,19866,1.7 X,6489.68,Paints,Paints/Varnishes
ALANKIT,   ,23.7,0.42,24/05/2017 15:29:43,23.65,24.4,23.6,8259788,12.09 X,0.00,Finance,Finance - Investments
ALBERTDAVD,   ,289,-4.21,24/05/2017 15:29:56,300,300,286.35,13629,4.62 X,0.00,NA,NA
ALBK,   ,71.8,-4.9,24/05/2017 15:29:58,75.5,76,71.2,7404422,1.02 X,3418.36,Banks - PSU,Finance - Banks - Public Sector
ALCHEM,   ,17.5,-1.69,24/05/2017 15:29:33,17.8,18,17.3,30280,0.48 X,22.43,Diversified,Diversified
ALEMBICLTD,   ,40.65,-5.02,24/05/2017 15:29:59,43.05,43.05,40.4,540338,0.6 X,1082.27,Pharmaceuticals,Pharmaceuticals
ALICON,   ,467,-4.94,24/05/2017 15:29:54,486,496.3,465.05,4471,0.41 X,515.84,Auto Ancl,Auto Ancl - Others
ALKALI,   ,63.2,-6.02,24/05/2017 15:29:52,67,67.8,62.5,9558,0.49 X,64.86,Metals,Metals - Non Ferrous - Others
ALKEM,   ,1818,-0.95,24/05/2017 15:29:58,1859.95,1859.95,1809,51648,1.81 X,0.00,Pharmaceuticals,Bulk Drugs & Formln
ALKYLAMINE,   ,384,-3.89,24/05/2017 15:29:55,398.85,403,376,7891,0.43 X,380.78,Chemicals,Chemicals - Organic - Others
ALLCARGO,   ,173.75,-1.19,24/05/2017 15:29:58,175.9,177.7,171.05,150930,0.15 X,4550.12,Transport,Transport - Road
ALLSEC,   ,328,-4.97,24/05/2017 15:29:54,345.15,348.2,324.85,21205,0.87 X,491.94,Computers,IT Enabled Services
ALMONDZ,   ,17,-1.16,24/05/2017 15:19:25,17,17.45,16.8,25215,0.56 X,44.32,Finance,Finance - Investments
ALOKTEXT,   ,3,-9.09,24/05/2017 15:29:47,3.35,3.35,2.9,5551569,0.88 X,247.88,Textiles,Textiles - Weaving
ALPHAGEO,   ,928,-1.25,24/05/2017 15:29:54,939.65,951.9,913.05,18333,0.64 X,475.67,Oil Drilling,Oil Drilling And Exploration
ALPSINDUS,   ,6.65,-6.34,24/05/2017 15:28:44,6.95,7.1,6.65,48308,0.84 X,24.94,Textiles,Textiles - General
AMARAJABAT,   ,830.15,-5.04,24/05/2017 15:29:59,874.9,886.35,805.7,1861756,4.91 X,21088.5,Auto Ancl,Auto Ancl - Batteries
AMBIKCO,   ,1270,0.91,24/05/2017 15:29:03,1253,1323,1249,5536,2.24 X,754.69,Textiles,Textiles - Spinning - Cotton Blended
AMBUJACEM,   ,235.3,-1.88,24/05/2017 15:31:08,239.8,240.4,233.05,2125205,0.46 X,36732.47,Cement,Cement - Major
AMDIND,   ,28.4,-1.73,24/05/2017 15:29:33,28.15,29.5,28.15,11822,0.56 X,54.26,Packaging,Packaging - Others
AMRUTANJAN,   ,687.5,-2.96,24/05/2017 15:31:15,705,720.85,685.1,17782,0.62 X,201.05,Pharmaceuticals,Pharmaceuticals
AMTEKAUTO,   ,33.95,-2.72,24/05/2017 15:31:18,35,35.35,33.35,1460036,0.37 X,788.89,Auto Ancl,Auto Ancl - Susp. & Braking - Others
ANANTRAJ,   ,59.95,-1.96,24/05/2017 15:31:14,61.75,62.75,59.15,1387737,0.65 X,1770.62,Construction,Construction and Contracting - Real Estate
ANDHRABANK,   ,58.45,-3.94,24/05/2017 15:31:12,61.25,61.25,57.7,5425542,0.88 X,3265.39,Banks - PSU,Finance - Banks - Public Sector
ANDHRSUGAR,   ,286.55,-2.1,24/05/2017 15:31:18,293.4,296.15,283,43440,1.08 X,774.83,Sugar,Sugar - Others
ANGIND,   ,8.9,-4.3,24/05/2017 15:31:14,9.1,9.45,8.85,34052,1.65 X,10.21,Diversified,Diversified
ANKITMETAL,   ,1.65,0.00,24/05/2017 15:31:18,1.65,1.75,1.65,24442,0.76 X,0.00,Steel,Steel - Sponge Iron
ANSALAPI,   ,22.8,-5.98,24/05/2017 15:31:18,24.25,24.6,22.6,500787,0.46 X,363.01,Construction,Construction & Contracting - Housing
ANSALHSG,   ,26.8,-3.77,24/05/2017 15:31:14,28,28.4,26.5,103350,0.44 X,54.35,Construction,Construction & Contracting - Housing
APARINDS,   ,816.8,-1.71,24/05/2017 15:31:13,828,832.55,796.95,25774,0.86 X,2952.72,Electric,Electric Equipment - Transformers
APCL,   ,224.35,-3.09,24/05/2017 15:31:17,226,229.5,220.25,5251,1.51 X,0.00,NA,NA
APCOTEXIND,   ,367.65,-4.26,24/05/2017 15:31:18,384.5,384.5,363.25,41801,0.94 X,755.53,Misc,Rubber Processing/Rubber Products
APLAPOLLO,   ,1332.3,-4.27,24/05/2017 15:31:18,1395,1397,1323.2,8713,0.55 X,2829.25,Steel,Medium / Small
APLLTD,   ,577.2,-2.66,24/05/2017 15:31:18,592.95,592.95,570,31905,0.6 X,10890.42,Pharmaceuticals,Bulk Drugs & Formln
APOLLOHOSP,   ,1218.4,-1.12,24/05/2017 15:31:08,1227,1236.3,1210.75,321168,0.41 X,32630.9,Medical,Hospitals & Medical Services
APOLLOTYRE,   ,221.45,-3.93,24/05/2017 15:31:18,229,230.45,217.25,4210604,1.03 X,10740.28,Auto Ancl,Tyres & Tubes
APTECHT,   ,198.15,6.79,24/05/2017 15:31:13,185,201.6,185,1010846,2.89 X,963.23,Computers,Computers - Software
ARCHIDPLY,   ,76.2,-3.42,24/05/2017 15:31:15,80,81,75.8,90974,0.62 X,166.67,Consumer Goods,Decoratives - Wood Based
ARCHIES,   ,28.05,-2.77,24/05/2017 15:31:10,28.8,29.15,27.8,118022,0.34 X,95,Printing,Printing/Publishing/Stationery
ARCOTECH,   ,343.05,-3.22,24/05/2017 15:31:08,359.9,359.9,340.2,27628,0.14 X,0.00,Mining,Mining/Minerals
ARIES,   ,147.15,-1.47,24/05/2017 15:31:15,150,153,146.1,23529,0.59 X,189.51,Fertilisers,Fertilisers - Nitrogenous/Phosphate
ARIHANTSUP,   ,164.2,-2.06,24/05/2017 15:31:17,169,173.5,161.9,824786,1.21 X,0.00,NA,NA
ARMANFIN,   ,179.2,-2,24/05/2017 15:31:15,182.2,191,178.45,23771,1.49 X,0.00,NA,NA
AROGRANITE,   ,67.5,-2.39,24/05/2017 15:31:14,69,71.75,66.75,63047,0.76 X,68.95,Misc,Granites/Marbles
ARROWGREEN,   ,455.5,-3.71,24/05/2017 15:31:12,479.4,479.4,452.1,6097,0.14 X,0.00,NA,NA
ARROWTEX,   ,43.8,-2.23,24/05/2017 15:31:15,45,45.7,43.3,28811,0.75 X,89.62,Textiles,Textiles - General
ARSSINFRA,   ,62.95,-3.15,24/05/2017 15:31:15,64.5,64.9,62.1,186540,0.45 X,92.88,Construction,Construction & Contracting - Civil
ARVIND,   ,367.35,-2.48,24/05/2017 15:31:18,376.9,378.5,364,1692971,0.92 X,9404.39,Textiles,Textiles - Denim
ARVSMART,   ,113.2,0.62,24/05/2017 15:31:12,113.3,114.3,109.55,71058,0.44 X,0.00,NA,NA
ASAHIINDIA,   ,240.95,-0.9,24/05/2017 15:31:09,242.05,244,235.3,87876,0.97 X,3846.27,Glass,Glass - Others
ASAHISONG,   ,294.65,-3.99,24/05/2017 15:31:18,302,307.75,293.1,13738,0.74 X,362.36,Dyes,Dyes & Pigments
ASAL,   ,66,0.30,24/05/2017 15:31:13,65,67.75,64.6,11094,0.78 X,105.46,Auto Ancl,Auto Ancl - Others
ASHAPURMIN,   ,61.9,-1.43,24/05/2017 15:31:18,63,64,61.5,48521,0.31 X,490.97,Mining,Mining/Minerals
ASHIANA,   ,205.05,-3.75,24/05/2017 15:31:17,212,215.3,202.15,25901,0.52 X,1896.5,Construction,Construction and Contracting - Real Estate
ASHIMASYN,   ,19.3,-3.5,24/05/2017 15:31:18,20.25,20.7,19,433291,0.0 X,51.39,Textiles,Textiles - Spinning - Cotton Blended
ASHOKA,   ,196,-0.83,24/05/2017 15:31:17,197.65,201.3,194.45,91289,0.35 X,3129.04,Construction,Construction & Contracting - Civil
ASHOKLEY,   ,82.35,-2.43,24/05/2017 15:31:18,84.6,84.9,81.5,9000008,1.06 X,22401.67,Auto,Auto - LCVs/HCVs
ASIANHOTNR,   ,138.05,-0.54,24/05/2017 15:31:16,137.5,140.85,133.2,8726,2.22 X,268.08,Hotels,Hotels
ASIANPAINT,   ,1091.2,-0.7,24/05/2017 15:31:08,1095,1107.05,1080.5,1551639,1.44 X,105718.2,Paints,Paints/Varnishes
ASIANTILES,   ,337.7,-2.31,24/05/2017 15:31:15,352,352,333.25,38633,0.0 X,694.46,Ceramics,Ceramics/Tiles/Sanitaryware
ASSAMCO,   ,6.05,-2.42,24/05/2017 15:31:18,6.25,6.25,6,470606,0.79 X,187.43,Tea-Coffee,Plantations - Tea & Coffee
ASTEC,   ,555.4,-0.7,24/05/2017 15:31:15,560.95,565,549.2,18855,0.27 X,943.33,Agro,Pesticides/Agro Chemicals
ASTRAL,   ,541.4,-0.6,24/05/2017 15:31:14,548,557.95,537.5,29610,0.48 X,12167.55,Plastics,Plastics - Pipes/Tubes
ASTRAMICRO,   ,127.05,-1.05,24/05/2017 15:31:13,129,129.9,125,384520,0.4 X,1039.9,Telecom,Telecommunications - Equipment
ASTRAZEN,   ,941.6,0.19,24/05/2017 15:31:10,945,955,935,10184,0.44 X,2354.67,Pharmaceuticals,Pharmaceuticals
ATFL,   ,501,0.36,24/05/2017 15:31:19,500.6,503.85,495,6530,0.83 X,1283.35,Edible Oils,Edible Oils & Solvent Extraction
ATLANTA,   ,111.2,4.27,24/05/2017 15:31:14,112,114.7,110,1237397,2.02 X,905.52,Infrastructure,Infrastructure - General
ATUL,   ,2400,-0.59,24/05/2017 15:31:18,2414.95,2484,2382.05,16737,0.51 X,7038.24,Dyes,Dyes & Pigments
ATULAUTO,   ,411.75,-1.02,24/05/2017 15:31:18,425,425,410.05,19284,0.57 X,0.00,Auto,Auto - 2 & 3 Wheelers
AURIONPRO,   ,116.3,2.6,24/05/2017 15:31:13,114.9,117.35,113.3,108082,1.13 X,185.51,Computers,Computers - Software
AUROPHARMA,   ,526.2,-2.86,24/05/2017 15:31:09,541.7,542.9,521,6097444,2.62 X,153511.85,Pharmaceuticals,Pharmaceuticals
AUSOMENT,   ,24.35,-2.21,24/05/2017 15:31:20,25,25,22.5,1098,0.47 X,0.00,Trading,Trading
AUTOAXLES,   ,721.25,-1.52,24/05/2017 15:31:18,729.95,739.95,715,14874,0.56 X,1091.51,Auto Ancl,Auto Ancl - Dr. Trans & Steer - Others
AUTOIND,   ,54.25,-3.73,24/05/2017 15:31:14,56,57,54,17986,0.39 X,66.34,Auto Ancl,Auto Ancl - Equipment Lamp
AUTOLITIND,   ,57.2,-2.05,24/05/2017 15:31:18,57.5,59.45,56.5,9810,0.59 X,48.61,Auto Ancl,Auto Ancl - Equipment Lamp
AVANTIFEED,   ,1346.2,3.06,24/05/2017 15:31:11,1310,1378,1276.2,167320,1.12 X,0.00,Food Processing,Indian
AVTNPL,   ,42.15,-0.82,24/05/2017 15:31:14,43.6,43.85,41.9,107345,0.38 X,64.3,Edible Oils,Edible Oils & Solvent Extraction
AXISBANK,   ,499.3,-0.26,24/05/2017 15:31:08,503,505,495,7269060,0.76 X,103208.43,Banks - Private,Finance - Banks - Private Sector
AXISCADES,   ,137.5,-3.07,24/05/2017 15:31:12,142.7,144.3,134,55550,0.71 X,0.00,Computers,Software - Medium / Small
AXISGOLD,   ,2544.1,-0.66,24/05/2017 15:31:17,2561,2561,2541.3,46,0.29 X,0.00,ETF,Gold
AYMSYNTEX,   ,80.9,-0.06,24/05/2017 15:31:22,81.8,82.9,78.7,98288,1.25 X,0.00,Textiles,Textiles - Processing/Texturising
BAFNAPHARM,   ,26.2,-4.03,24/05/2017 15:31:18,27,27.8,26,26813,1.15 X,0.00,Pharmaceuticals,Formulations
BAGFILMS,   ,4,-6.98,24/05/2017 15:31:13,4.3,4.4,3.95,428169,2.43 X,65.5,Entertainment,Entertainment/Multi Media
BAJAJ-AUTO,   ,2764.3,-2.15,24/05/2017 15:31:09,2815,2866.35,2750,307422,1.24 X,79958.72,Auto,Auto - 2 & 3 Wheelers
BAJAJCORP,   ,359.8,-0.06,24/05/2017 15:31:16,360,361.1,358.4,104126,1.91 X,5262.23,Diversified,Diversified
BAJAJELEC,   ,327.95,3.93,24/05/2017 15:31:15,316,344,316,712767,4.25 X,3198.28,Appliances,Domestic Appliances - Fans
BAJAJFINSV,   ,3953.95,-0.73,24/05/2017 15:31:15,4016.9,4031,3931.1,226494,1.6 X,57112.44,Finance,Finance - General
BAJAJHIND,   ,14.3,-2.39,24/05/2017 15:31:18,14.55,14.95,14.15,2942097,0.83 X,901.36,Sugar,Sugar - Integrated
BAJAJHLDNG,   ,2034.25,-0.72,24/05/2017 15:31:18,2109,2109,2025,6984,0.22 X,22489.24,Finance,Finance - Investments
BAJFINANCE,   ,1224.35,-0.76,24/05/2017 15:31:09,1234,1254.9,1210,786833,9.57 X,49853.18,Finance,Finance - Leasing & Hire Purchase
BALAJITELE,   ,107.8,-2.31,24/05/2017 15:31:12,108.55,115,105.55,320095,1.03 X,701.23,Entertainment,Entertainment/Multi Media
BALAMINES,   ,347.5,-5.86,24/05/2017 15:31:14,369,369,344,31625,0.89 X,1125.9,Chemicals,Chemicals - Organic - Others
BALKRISHNA,   ,78.3,-2.67,24/05/2017 15:31:19,80.1,82.45,77.7,24513,0.3 X,0.00,NA,NA
BALKRISIND,   ,1491.6,0.77,24/05/2017 15:31:18,1481.6,1527.85,1464.5,63812,0.47 X,14762.35,Auto Ancl,Tyres & Tubes
BALLARPUR,   ,18.65,-4.85,24/05/2017 15:31:15,19.3,20.1,18.3,3002026,0.67 X,1229.77,Paper,Paper & Paper Boards
BALMLAWRIE,   ,218.05,-1.78,24/05/2017 15:31:18,222,225,216.15,72356,1.32 X,1422.85,Diversified,Diversified
BALPHARMA,   ,95,-0.11,24/05/2017 15:31:14,93.05,96.9,93.05,30185,0.56 X,101.39,Pharmaceuticals,Pharmaceuticals
BALRAMCHIN,   ,161.35,1.1,24/05/2017 15:31:18,156.8,163.5,156.3,1839686,1.07 X,3866.04,Sugar,Sugar - Integrated
BANARISUG,   ,1852.8,0.63,24/05/2017 15:31:18,1810,1909.85,1801.25,682,1.37 X,2096,Sugar,Sugar - Others
BANCOINDIA,   ,209.8,-0.45,24/05/2017 15:31:14,212.05,215,207.45,87327,0.44 X,1502.39,Auto Ancl,Auto Ancl - Engine Parts
BANKBARODA,   ,175.75,-3.43,24/05/2017 15:31:09,182.2,182.8,174.8,11970402,1.03 X,36372.49,Banks - PSU,Finance - Banks - Public Sector
BANKBEES,   ,2273.21,-0.28,24/05/2017 15:31:13,2279,2286.9,2269.5,1730,0.1 X,0.00,ETF,Bank Nifty
BANKINDIA,   ,141.2,-3.58,24/05/2017 15:31:09,144.9,148.4,140.2,13976751,1.53 X,7693.51,Banks - PSU,Finance - Banks - Public Sector
BANKNIFTY,   ,22536.3,-0.21,24/05/2017 15:34:59,22624.5,22673.4,22469.8,0.00,0.0 X,0.00,Index,Index
BANSWRAS,   ,195.2,-1.21,24/05/2017 15:31:14,202.9,202.9,194.95,8541,0.2 X,284.66,Textiles,Textiles - Spinning - Synthetic Blended
BARTRONICS,   ,14.6,-7.89,24/05/2017 15:31:14,15.95,16,14.35,150568,1.04 X,49.71,Computers,Computers - Hardware
BASF,   ,1301.15,-0.66,24/05/2017 15:31:19,1314.8,1331.95,1288.05,19649,0.85 X,5637.04,Chemicals,Chemicals - Organic - Others
BASML,   ,299.3,-0.63,24/05/2017 15:31:13,301,301.25,297.5,1722,0.84 X,475.22,Textiles,Textiles - General
BATAINDIA,   ,521.15,-0.83,24/05/2017 15:31:19,525,528.75,517,668539,1.56 X,6737.54,Leather,Leather/Synthetic - Footwear
BAYERCROP,   ,4445.8,-0.3,24/05/2017 15:31:08,4460.05,4667.75,4340,14474,0.5 X,17572.05,Agro,Pesticides/Agro Chemicals
BBL,   ,1023.65,-2.46,24/05/2017 15:31:14,1070,1070,1018.25,9687,0.32 X,583.7,Electric,Electric Equipment - Transformers
BBTC,   ,880.05,0.16,24/05/2017 15:31:19,866,889,866,105876,0.76 X,1264.31,Tea-Coffee,Plantations - Tea & Coffee
BEDMUTHA,   ,42.8,-0.58,24/05/2017 15:31:17,43.45,45,42.5,63144,0.28 X,90.25,Electronics,Electronics - Others
BEL,   ,166.8,-3.05,24/05/2017 15:31:19,172,173.65,165.5,2969332,1.12 X,40240.05,Electronics,Electronics - Others
BEML,   ,1133.5,-4.96,24/05/2017 15:31:09,1195,1205,1125.4,283576,1.05 X,4705.41,Engineering,Engineering - Heavy
BEPL,   ,39.05,0.13,24/05/2017 15:31:19,39.4,42,38.1,2481365,0.97 X,653.52,Petrochem,Petrochem - Polymers
BERGEPAINT,   ,242.45,-0.68,24/05/2017 15:31:19,243,244.1,235.1,480720,0.78 X,23434.89,Paints,Paints/Varnishes
BFINVEST,   ,149.8,-1.87,24/05/2017 15:31:17,153.65,156.8,148.4,37810,0.68 X,562.3,Finance,Finance - Investments
BFUTILITIE,   ,378.3,-2.11,24/05/2017 15:31:14,386.95,396.8,374.05,384642,0.57 X,1424.32,Power,Power - Generation/Distribution
BGRENERGY,   ,150.2,-4.54,24/05/2017 15:31:15,157.25,159.95,148.45,261110,0.66 X,1083.08,Engineering,Engineering - General
BHAGERIA,   ,292.75,-0.64,24/05/2017 15:31:14,298.35,303.9,290,18845,0.27 X,0.00,Dyes,Dyes & Pigments
BHANDARI,   ,2.4,0.00,24/05/2017 15:31:16,2.3,2.55,2.2,764076,5.09 X,0.00,NA,NA
BHARATFIN,   ,670.45,0.68,24/05/2017 15:31:09,671,683,651,4661014,1.17 X,0.00,NA,NA
BHARATFORG,   ,1084.35,3.56,24/05/2017 15:31:09,1049.8,1094.9,1038.95,2442778,3.17 X,24758.06,Auto Ancl,Forgings
BHARATGEAR,   ,118.25,-3.74,24/05/2017 15:31:19,125.4,128.5,117.15,46820,2.1 X,90.81,Auto Ancl,Auto Ancl - Gears & Drive
BHARATIDIL,   ,10.35,-2.82,24/05/2017 15:31:13,10.5,10.85,10.2,39575,0.8 X,0.00,NA,NA
BHARATRAS,   ,2662.85,-0.6,24/05/2017 15:31:20,2650.05,2700,2575.1,894,1.05 X,1127.84,Agro,Pesticides/Agro Chemicals
BHARATWIRE,   ,86.95,1.7,24/05/2017 15:31:15,86.05,93.35,85.4,596745,0.65 X,0.00,NA,NA
BHARTIARTL,   ,368.35,-0.95,24/05/2017 15:31:13,368,373,365.65,6942414,1.47 X,139839.27,Telecom,Telecommunications - Service
BHEL,   ,149.9,-3.85,24/05/2017 15:31:19,156.2,157.7,148.6,5533426,1.21 X,35428.99,Engineering,Engineering - Heavy
BHUSANSTL,   ,80.85,-4.09,24/05/2017 15:31:19,84.75,87.8,80.1,1227609,0.52 X,1729.56,Steel,Steel - CR/HR Strips
BIGBLOC,   ,85.1,-0.58,24/05/2017 15:31:16,87,88,85,19389,0.47 X,0.00,NA,NA
BIL,   ,564.15,-0.61,24/05/2017 15:31:11,575,589.85,560.25,15994,0.65 X,585.14,Leather,Leather - Garments
BINANIIND,   ,74.1,-2.95,24/05/2017 15:31:14,76.1,77.2,73.9,37182,0.5 X,224.08,Misc,Miscellaneous
BINDALAGRO,   ,25.75,-2.46,24/05/2017 15:31:19,26.3,26.6,25.2,142306,0.57 X,0.00,Fertilisers,Fertilisers - Nitrogenous/Phosphate
BIOCON,   ,892.7,-5.67,24/05/2017 15:31:09,946.35,946.5,886.9,1745721,1.13 X,35708,Pharmaceuticals,Pharmaceuticals
BIRLACABLE,   ,38.55,-4.81,24/05/2017 15:31:19,40,45.7,37.65,39882,0.84 X,0.00,NA,NA
BIRLACORPN,   ,750.6,-0.94,24/05/2017 15:31:19,760,769,729,91925,1.38 X,5689.24,Cement,Cement - Major
BLISSGVS,   ,185.2,-1.49,24/05/2017 15:31:16,189,192.9,183.4,478901,0.98 X,1901.32,Pharmaceuticals,Contraceptives
BLKASHYAP,   ,29.95,-3.85,24/05/2017 15:31:14,31.15,31.85,29.15,316137,0.54 X,615.17,Construction,Construction & Contracting - Civil
BLS,   ,182.65,-3.87,24/05/2017 15:31:15,196.7,196.7,182.5,129299,0.47 X,0.00,NA,NA
BLUEBLENDS,   ,41.3,-0.12,24/05/2017 15:31:19,45,45,40,12485,0.58 X,0.00,Textiles,Textiles - Processing/Texturising
BLUECOAST,   ,139,-4.99,24/05/2017 15:31:10,139,145,139,115,0.9 X,143.9,Pharmaceuticals,Pharmaceuticals
BLUEDART,   ,4362.75,3.86,24/05/2017 15:31:19,4212.1,4409.1,4197,13195,1.96 X,10346.33,Couriers,Couriers
BLUESTARCO,   ,634.15,-0.43,24/05/2017 15:31:11,635,644.5,628,35521,0.33 X,5736.4,Air Conditioners,Air Conditioners
BODALCHEM,   ,154.6,0.13,24/05/2017 15:31:18,155.55,158.4,153.8,256392,0.66 X,1640.48,Dyes,Dyes & Pigments
BOMDYEING,   ,66.95,-4.97,24/05/2017 15:31:19,68.65,70.15,66.3,1895152,0.81 X,278.48,Petrochem,Petrochem - Polymers
BOSCHLTD,   ,22825.9,-1.36,24/05/2017 15:31:19,23300,23322,22760,14675,1.13 X,72015.04,Auto Ancl,Auto Ancl - Engine Parts
BPCL,   ,711.9,1.77,24/05/2017 15:31:09,703,716.7,691.25,2349721,1.54 X,51888.37,Refineries,Refineries
BPL,   ,69.1,-2.26,24/05/2017 15:31:19,71.65,73.2,68.15,410920,0.54 X,335.4,Consumer Goods,Consumer Goods - Electronic
BRFL,   ,130.35,0.54,24/05/2017 15:31:14,128.5,134.8,128.45,52522,0.27 X,1749.69,Textiles,Textiles - General
BRIGADE,   ,245.85,1.53,24/05/2017 15:31:15,242,252,242,92853,0.64 X,2755.12,Construction,Construction and Contracting - Real Estate
BRITANNIA,   ,3533.3,-1.69,24/05/2017 15:31:19,3605,3615.85,3471.9,99532,0.77 X,42276.4,Food Processing,Food Processing - Dairy
